r,t,e,y,AnnualTechnologyEmission
RE1,PHL_DEM_PUB_SUR_WAT,PM2_5,2052,0.0
RE1,PHL_DEM_PUB_SUR_WAT,PM2_5,2053,0.0
RE1,PHL_MIN_PRC,CO2e,2020,0.0
RE1,PHL_MIN_PRC,CO2e,2021,0.0
RE1,PHL_MIN_PRC,CO2e,2022,0.0
RE1,PHL_MIN_PRC,CO2e,2023,0.0
RE1,PHL_MIN_PRC,CO2e,2024,0.0
RE1,PHL_MIN_PRC,CO2e,2025,0.0
RE1,PHL_MIN_PRC,CO2e,2026,0.0
RE1,PHL_MIN_PRC,CO2e,2027,0.0
RE1,PHL_MIN_PRC,CO2e,2028,0.0
RE1,PHL_MIN_PRC,CO2e,2029,0.0
RE1,PHL_MIN_PRC,CO2e,2030,0.0
RE1,PHL_MIN_PRC,CO2e,2031,0.0
RE1,PHL_MIN_PRC,CO2e,2032,0.0
RE1,PHL_MIN_PRC,CO2e,2033,0.0
RE1,PHL_MIN_PRC,CO2e,2034,0.0
RE1,PHL_MIN_PRC,CO2e,2035,0.0
RE1,PHL_MIN_PRC,CO2e,2036,0.0
RE1,PHL_MIN_PRC,CO2e,2037,0.0
RE1,PHL_MIN_PRC,CO2e,2038,0.0
RE1,PHL_MIN_PRC,CO2e,2039,0.0
RE1,PHL_MIN_PRC,CO2e,2040,0.0
RE1,PHL_MIN_PRC,CO2e,2041,0.0
RE1,PHL_MIN_PRC,CO2e,2042,0.0
RE1,PHL_MIN_PRC,CO2e,2043,0.0
RE1,PHL_MIN_PRC,CO2e,2044,0.0
RE1,PHL_MIN_PRC,CO2e,2045,0.0
RE1,PHL_MIN_PRC,CO2e,2046,0.0
RE1,PHL_MIN_PRC,CO2e,2047,0.0
RE1,PHL_MIN_PRC,CO2e,2048,0.0
RE1,PHL_MIN_PRC,CO2e,2049,0.0
RE1,PHL_MIN_PRC,CO2e,2050,0.0
RE1,PHL_MIN_PRC,CO2e,2051,0.0
RE1,PHL_MIN_PRC,CO2e,2052,0.0
RE1,PHL_MIN_PRC,CO2e,2053,0.0
RE1,PHL_MIN_PRC,PM2_5,2020,0.0
RE1,PHL_MIN_PRC,PM2_5,2021,0.0
RE1,PHL_MIN_PRC,PM2_5,2022,0.0
RE1,PHL_MIN_PRC,PM2_5,2023,0.0
RE1,PHL_MIN_PRC,PM2_5,2024,0.0
RE1,PHL_MIN_PRC,PM2_5,2025,0.0
RE1,PHL_MIN_PRC,PM2_5,2026,0.0
RE1,PHL_MIN_PRC,PM2_5,2027,0.0
RE1,PHL_MIN_PRC,PM2_5,2028,0.0
RE1,PHL_MIN_PRC,PM2_5,2029,0.0
RE1,PHL_MIN_PRC,PM2_5,2030,0.0
RE1,PHL_MIN_PRC,PM2_5,2031,0.0
RE1,PHL_MIN_PRC,PM2_5,2032,0.0
RE1,PHL_MIN_PRC,PM2_5,2033,0.0
RE1,PHL_MIN_PRC,PM2_5,2034,0.0
RE1,PHL_MIN_PRC,PM2_5,2035,0.0
RE1,PHL_MIN_PRC,PM2_5,2036,0.0
RE1,PHL_MIN_PRC,PM2_5,2037,0.0
RE1,PHL_MIN_PRC,PM2_5,2038,0.0
RE1,PHL_MIN_PRC,PM2_5,2039,0.0
RE1,PHL_MIN_PRC,PM2_5,2040,0.0
RE1,PHL_MIN_PRC,PM2_5,2041,0.0
RE1,PHL_MIN_PRC,PM2_5,2042,0.0
RE1,PHL_MIN_PRC,PM2_5,2043,0.0
RE1,PHL_MIN_PRC,PM2_5,2044,0.0
RE1,PHL_MIN_PRC,PM2_5,2045,0.0
RE1,PHL_MIN_PRC,PM2_5,2046,0.0
RE1,PHL_MIN_PRC,PM2_5,2047,0.0
RE1,PHL_MIN_PRC,PM2_5,2048,0.0
RE1,PHL_MIN_PRC,PM2_5,2049,0.0
RE1,PHL_MIN_PRC,PM2_5,2050,0.0
RE1,PHL_MIN_PRC,PM2_5,2051,0.0
RE1,PHL_MIN_PRC,PM2_5,2052,0.0
RE1,PHL_MIN_PRC,PM2_5,2053,0.0
RE1,PHL_AGR_MOT_ELE,CO2e,2020,0.0
RE1,PHL_AGR_MOT_ELE,CO2e,2021,0.0
RE1,PHL_AGR_MOT_ELE,CO2e,2022,0.0
RE1,PHL_AGR_MOT_ELE,CO2e,2023,0.0
RE1,PHL_AGR_MOT_ELE,CO2e,2024,0.0
RE1,PHL_AGR_MOT_ELE,CO2e,2025,0.0
RE1,PHL_AGR_MOT_ELE,CO2e,2026,0.0
RE1,PHL_AGR_MOT_ELE,CO2e,2027,0.0
RE1,PHL_AGR_MOT_ELE,CO2e,2028,0.0
RE1,PHL_AGR_MOT_ELE,CO2e,2029,0.0
RE1,PHL_AGR_MOT_ELE,CO2e,2030,0.0
RE1,PHL_AGR_MOT_ELE,CO2e,2031,0.0
RE1,PHL_AGR_MOT_ELE,CO2e,2032,0.0
RE1,PHL_AGR_MOT_ELE,CO2e,2033,0.0
RE1,PHL_AGR_MOT_ELE,CO2e,2034,0.0
RE1,PHL_AGR_MOT_ELE,CO2e,2035,0.0
RE1,PHL_AGR_MOT_ELE,CO2e,2036,0.0
RE1,PHL_AGR_MOT_ELE,CO2e,2037,0.0
RE1,PHL_AGR_MOT_ELE,CO2e,2038,0.0
RE1,PHL_AGR_MOT_ELE,CO2e,2039,0.0
RE1,PHL_AGR_MOT_ELE,CO2e,2040,0.0
RE1,PHL_AGR_MOT_ELE,CO2e,2041,0.0
RE1,PHL_AGR_MOT_ELE,CO2e,2042,0.0
RE1,PHL_AGR_MOT_ELE,CO2e,2043,0.0
RE1,PHL_AGR_MOT_ELE,CO2e,2044,0.0
RE1,PHL_AGR_MOT_ELE,CO2e,2045,0.0
RE1,PHL_AGR_MOT_ELE,CO2e,2046,0.0
RE1,PHL_AGR_MOT_ELE,CO2e,2047,0.0
RE1,PHL_AGR_MOT_ELE,CO2e,2048,0.0
RE1,PHL_AGR_MOT_ELE,CO2e,2049,0.0
RE1,PHL_AGR_MOT_ELE,CO2e,2050,0.0
RE1,PHL_AGR_MOT_ELE,CO2e,2051,0.0
RE1,PHL_AGR_MOT_ELE,CO2e,2052,0.0
RE1,PHL_AGR_MOT_ELE,CO2e,2053,0.0
RE1,PHL_AGR_MOT_ELE,PM2_5,2020,0.0
RE1,PHL_AGR_MOT_ELE,PM2_5,2021,0.0
RE1,PHL_AGR_MOT_ELE,PM2_5,2022,0.0
RE1,PHL_AGR_MOT_ELE,PM2_5,2023,0.0
RE1,PHL_AGR_MOT_ELE,PM2_5,2024,0.0
RE1,PHL_AGR_MOT_ELE,PM2_5,2025,0.0
RE1,PHL_AGR_MOT_ELE,PM2_5,2026,0.0
RE1,PHL_AGR_MOT_ELE,PM2_5,2027,0.0
RE1,PHL_AGR_MOT_ELE,PM2_5,2028,0.0
RE1,PHL_AGR_MOT_ELE,PM2_5,2029,0.0
RE1,PHL_AGR_MOT_ELE,PM2_5,2030,0.0
RE1,PHL_AGR_MOT_ELE,PM2_5,2031,0.0
RE1,PHL_AGR_MOT_ELE,PM2_5,2032,0.0
RE1,PHL_AGR_MOT_ELE,PM2_5,2033,0.0
RE1,PHL_AGR_MOT_ELE,PM2_5,2034,0.0
RE1,PHL_AGR_MOT_ELE,PM2_5,2035,0.0
RE1,PHL_AGR_MOT_ELE,PM2_5,2036,0.0
RE1,PHL_AGR_MOT_ELE,PM2_5,2037,0.0
RE1,PHL_AGR_MOT_ELE,PM2_5,2038,0.0
RE1,PHL_AGR_MOT_ELE,PM2_5,2039,0.0
RE1,PHL_AGR_MOT_ELE,PM2_5,2040,0.0
RE1,PHL_AGR_MOT_ELE,PM2_5,2041,0.0
RE1,PHL_AGR_MOT_ELE,PM2_5,2042,0.0
RE1,PHL_AGR_MOT_ELE,PM2_5,2043,0.0
RE1,PHL_AGR_MOT_ELE,PM2_5,2044,0.0
RE1,PHL_AGR_MOT_ELE,PM2_5,2045,0.0
RE1,PHL_AGR_MOT_ELE,PM2_5,2046,0.0
RE1,PHL_AGR_MOT_ELE,PM2_5,2047,0.0
RE1,PHL_AGR_MOT_ELE,PM2_5,2048,0.0
RE1,PHL_AGR_MOT_ELE,PM2_5,2049,0.0
RE1,PHL_AGR_MOT_ELE,PM2_5,2050,0.0
RE1,PHL_AGR_MOT_ELE,PM2_5,2051,0.0
RE1,PHL_AGR_MOT_ELE,PM2_5,2052,0.0
RE1,PHL_AGR_MOT_ELE,PM2_5,2053,0.0
RE1,PHL_AGR_MOT_LIQ,CO2e,2020,0.0
RE1,PHL_AGR_MOT_LIQ,CO2e,2021,0.0
RE1,PHL_AGR_MOT_LIQ,CO2e,2022,0.0
RE1,PHL_AGR_MOT_LIQ,CO2e,2023,0.0
RE1,PHL_AGR_MOT_LIQ,CO2e,2024,0.0
RE1,PHL_AGR_MOT_LIQ,CO2e,2025,0.0
RE1,PHL_AGR_MOT_LIQ,CO2e,2026,0.0
RE1,PHL_AGR_MOT_LIQ,CO2e,2027,0.0
RE1,PHL_AGR_MOT_LIQ,CO2e,2028,0.0
RE1,PHL_AGR_MOT_LIQ,CO2e,2029,0.0
RE1,PHL_AGR_MOT_LIQ,CO2e,2030,0.0
RE1,PHL_AGR_MOT_LIQ,CO2e,2031,0.0
RE1,PHL_AGR_MOT_LIQ,CO2e,2032,0.0
RE1,PHL_AGR_MOT_LIQ,CO2e,2033,0.0
RE1,PHL_AGR_MOT_LIQ,CO2e,2034,0.0
RE1,PHL_AGR_MOT_LIQ,CO2e,2035,0.0
RE1,PHL_AGR_MOT_LIQ,CO2e,2036,0.0
RE1,PHL_AGR_MOT_LIQ,CO2e,2037,0.0
RE1,PHL_AGR_MOT_LIQ,CO2e,2038,0.0
RE1,PHL_AGR_MOT_LIQ,CO2e,2039,0.0
RE1,PHL_AGR_MOT_LIQ,CO2e,2040,0.0
RE1,PHL_AGR_MOT_LIQ,CO2e,2041,0.0
RE1,PHL_AGR_MOT_LIQ,CO2e,2042,0.0
RE1,PHL_AGR_MOT_LIQ,CO2e,2043,0.0
RE1,PHL_AGR_MOT_LIQ,CO2e,2044,0.0
RE1,PHL_AGR_MOT_LIQ,CO2e,2045,0.0
RE1,PHL_AGR_MOT_LIQ,CO2e,2046,0.0
RE1,PHL_AGR_MOT_LIQ,CO2e,2047,0.0
RE1,PHL_AGR_MOT_LIQ,CO2e,2048,0.0
RE1,PHL_AGR_MOT_LIQ,CO2e,2049,0.0
RE1,PHL_AGR_MOT_LIQ,CO2e,2050,0.0
RE1,PHL_AGR_MOT_LIQ,CO2e,2051,0.0
RE1,PHL_AGR_MOT_LIQ,CO2e,2052,0.0
RE1,PHL_AGR_MOT_LIQ,CO2e,2053,0.0
RE1,PHL_AGR_MOT_LIQ,PM2_5,2020,0.0
RE1,PHL_AGR_MOT_LIQ,PM2_5,2021,0.0
RE1,PHL_AGR_MOT_LIQ,PM2_5,2022,0.0
RE1,PHL_AGR_MOT_LIQ,PM2_5,2023,0.0
RE1,PHL_AGR_MOT_LIQ,PM2_5,2024,0.0
RE1,PHL_AGR_MOT_LIQ,PM2_5,2025,0.0
RE1,PHL_AGR_MOT_LIQ,PM2_5,2026,0.0
RE1,PHL_AGR_MOT_LIQ,PM2_5,2027,0.0
RE1,PHL_AGR_MOT_LIQ,PM2_5,2028,0.0
RE1,PHL_AGR_MOT_LIQ,PM2_5,2029,0.0
RE1,PHL_AGR_MOT_LIQ,PM2_5,2030,0.0
RE1,PHL_AGR_MOT_LIQ,PM2_5,2031,0.0
RE1,PHL_AGR_MOT_LIQ,PM2_5,2032,0.0
RE1,PHL_AGR_MOT_LIQ,PM2_5,2033,0.0
RE1,PHL_AGR_MOT_LIQ,PM2_5,2034,0.0
RE1,PHL_AGR_MOT_LIQ,PM2_5,2035,0.0
RE1,PHL_AGR_MOT_LIQ,PM2_5,2036,0.0
RE1,PHL_AGR_MOT_LIQ,PM2_5,2037,0.0
RE1,PHL_AGR_MOT_LIQ,PM2_5,2038,0.0
RE1,PHL_AGR_MOT_LIQ,PM2_5,2039,0.0
RE1,PHL_AGR_MOT_LIQ,PM2_5,2040,0.0
RE1,PHL_AGR_MOT_LIQ,PM2_5,2041,0.0
RE1,PHL_AGR_MOT_LIQ,PM2_5,2042,0.0
RE1,PHL_AGR_MOT_LIQ,PM2_5,2043,0.0
RE1,PHL_AGR_MOT_LIQ,PM2_5,2044,0.0
RE1,PHL_AGR_MOT_LIQ,PM2_5,2045,0.0
RE1,PHL_AGR_MOT_LIQ,PM2_5,2046,0.0
RE1,PHL_AGR_MOT_LIQ,PM2_5,2047,0.0
RE1,PHL_AGR_MOT_LIQ,PM2_5,2048,0.0
RE1,PHL_AGR_MOT_LIQ,PM2_5,2049,0.0
RE1,PHL_AGR_MOT_LIQ,PM2_5,2050,0.0
RE1,PHL_AGR_MOT_LIQ,PM2_5,2051,0.0
RE1,PHL_AGR_MOT_LIQ,PM2_5,2052,0.0
RE1,PHL_AGR_MOT_LIQ,PM2_5,2053,0.0
RE1,PHL_AGR_UNIT,CO2e,2020,0.0
RE1,PHL_AGR_UNIT,CO2e,2021,0.0
RE1,PHL_AGR_UNIT,CO2e,2022,0.0
RE1,PHL_AGR_UNIT,CO2e,2023,0.0
RE1,PHL_AGR_UNIT,CO2e,2024,0.0
RE1,PHL_AGR_UNIT,CO2e,2025,0.0
RE1,PHL_AGR_UNIT,CO2e,2026,0.0
RE1,PHL_AGR_UNIT,CO2e,2027,0.0
RE1,PHL_AGR_UNIT,CO2e,2028,0.0
RE1,PHL_AGR_UNIT,CO2e,2029,0.0
RE1,PHL_AGR_UNIT,CO2e,2030,0.0
RE1,PHL_AGR_UNIT,CO2e,2031,0.0
RE1,PHL_AGR_UNIT,CO2e,2032,0.0
RE1,PHL_AGR_UNIT,CO2e,2033,0.0
RE1,PHL_AGR_UNIT,CO2e,2034,0.0
RE1,PHL_AGR_UNIT,CO2e,2035,0.0
RE1,PHL_AGR_UNIT,CO2e,2036,0.0
RE1,PHL_AGR_UNIT,CO2e,2037,0.0
RE1,PHL_AGR_UNIT,CO2e,2038,0.0
RE1,PHL_AGR_UNIT,CO2e,2039,0.0
RE1,PHL_AGR_UNIT,CO2e,2040,0.0
RE1,PHL_AGR_UNIT,CO2e,2041,0.0
RE1,PHL_AGR_UNIT,CO2e,2042,0.0
RE1,PHL_AGR_UNIT,CO2e,2043,0.0
RE1,PHL_AGR_UNIT,CO2e,2044,0.0
RE1,PHL_AGR_UNIT,CO2e,2045,0.0
RE1,PHL_AGR_UNIT,CO2e,2046,0.0
RE1,PHL_AGR_UNIT,CO2e,2047,0.0
RE1,PHL_AGR_UNIT,CO2e,2048,0.0
RE1,PHL_AGR_UNIT,CO2e,2049,0.0
RE1,PHL_AGR_UNIT,CO2e,2050,0.0
RE1,PHL_AGR_UNIT,CO2e,2051,0.0
RE1,PHL_AGR_UNIT,CO2e,2052,0.0
RE1,PHL_AGR_UNIT,CO2e,2053,0.0
RE1,PHL_AGR_UNIT,PM2_5,2020,0.0
RE1,PHL_AGR_UNIT,PM2_5,2021,0.0
RE1,PHL_AGR_UNIT,PM2_5,2022,0.0
RE1,PHL_AGR_UNIT,PM2_5,2023,0.0
RE1,PHL_AGR_UNIT,PM2_5,2024,0.0
RE1,PHL_AGR_UNIT,PM2_5,2025,0.0
RE1,PHL_AGR_UNIT,PM2_5,2026,0.0
RE1,PHL_AGR_UNIT,PM2_5,2027,0.0
RE1,PHL_AGR_UNIT,PM2_5,2028,0.0
RE1,PHL_AGR_UNIT,PM2_5,2029,0.0
RE1,PHL_AGR_UNIT,PM2_5,2030,0.0
RE1,PHL_AGR_UNIT,PM2_5,2031,0.0
RE1,PHL_AGR_UNIT,PM2_5,2032,0.0
RE1,PHL_AGR_UNIT,PM2_5,2033,0.0
RE1,PHL_AGR_UNIT,PM2_5,2034,0.0
RE1,PHL_AGR_UNIT,PM2_5,2035,0.0
RE1,PHL_AGR_UNIT,PM2_5,2036,0.0
RE1,PHL_AGR_UNIT,PM2_5,2037,0.0
RE1,PHL_AGR_UNIT,PM2_5,2038,0.0
RE1,PHL_AGR_UNIT,PM2_5,2039,0.0
RE1,PHL_AGR_UNIT,PM2_5,2040,0.0
RE1,PHL_AGR_UNIT,PM2_5,2041,0.0
RE1,PHL_AGR_UNIT,PM2_5,2042,0.0
RE1,PHL_AGR_UNIT,PM2_5,2043,0.0
RE1,PHL_AGR_UNIT,PM2_5,2044,0.0
RE1,PHL_AGR_UNIT,PM2_5,2045,0.0
RE1,PHL_AGR_UNIT,PM2_5,2046,0.0
RE1,PHL_AGR_UNIT,PM2_5,2047,0.0
RE1,PHL_AGR_UNIT,PM2_5,2048,0.0
RE1,PHL_AGR_UNIT,PM2_5,2049,0.0
RE1,PHL_AGR_UNIT,PM2_5,2050,0.0
RE1,PHL_AGR_UNIT,PM2_5,2051,0.0
RE1,PHL_AGR_UNIT,PM2_5,2052,0.0
RE1,PHL_AGR_UNIT,PM2_5,2053,0.0
RE1,PHL_AGR_FAC,CO2e,2020,0.0
RE1,PHL_AGR_FAC,CO2e,2021,0.0
RE1,PHL_AGR_FAC,CO2e,2022,0.0
RE1,PHL_AGR_FAC,CO2e,2023,0.0
RE1,PHL_AGR_FAC,CO2e,2024,0.0
RE1,PHL_AGR_FAC,CO2e,2025,0.0
RE1,PHL_AGR_FAC,CO2e,2026,0.0
RE1,PHL_AGR_FAC,CO2e,2027,0.0
RE1,PHL_AGR_FAC,CO2e,2028,0.0
RE1,PHL_AGR_FAC,CO2e,2029,0.0
RE1,PHL_AGR_FAC,CO2e,2030,0.0
RE1,PHL_AGR_FAC,CO2e,2031,0.0
RE1,PHL_AGR_FAC,CO2e,2032,0.0
RE1,PHL_AGR_FAC,CO2e,2033,0.0
RE1,PHL_AGR_FAC,CO2e,2034,0.0
RE1,PHL_AGR_FAC,CO2e,2035,0.0
RE1,PHL_AGR_FAC,CO2e,2036,0.0
RE1,PHL_AGR_FAC,CO2e,2037,0.0
RE1,PHL_AGR_FAC,CO2e,2038,0.0
RE1,PHL_AGR_FAC,CO2e,2039,0.0
RE1,PHL_AGR_FAC,CO2e,2040,0.0
RE1,PHL_AGR_FAC,CO2e,2041,0.0
RE1,PHL_AGR_FAC,CO2e,2042,0.0
RE1,PHL_AGR_FAC,CO2e,2043,0.0
RE1,PHL_AGR_FAC,CO2e,2044,0.0
RE1,PHL_AGR_FAC,CO2e,2045,0.0
RE1,PHL_AGR_FAC,CO2e,2046,0.0
RE1,PHL_AGR_FAC,CO2e,2047,0.0
RE1,PHL_AGR_FAC,CO2e,2048,0.0
RE1,PHL_AGR_FAC,CO2e,2049,0.0
RE1,PHL_AGR_FAC,CO2e,2050,0.0
RE1,PHL_AGR_FAC,CO2e,2051,0.0
RE1,PHL_AGR_FAC,CO2e,2052,0.0
RE1,PHL_AGR_FAC,CO2e,2053,0.0
RE1,PHL_AGR_FAC,PM2_5,2020,0.0
RE1,PHL_AGR_FAC,PM2_5,2021,0.0
RE1,PHL_AGR_FAC,PM2_5,2022,0.0
RE1,PHL_AGR_FAC,PM2_5,2023,0.0
RE1,PHL_AGR_FAC,PM2_5,2024,0.0
RE1,PHL_AGR_FAC,PM2_5,2025,0.0
RE1,PHL_AGR_FAC,PM2_5,2026,0.0
RE1,PHL_AGR_FAC,PM2_5,2027,0.0
RE1,PHL_AGR_FAC,PM2_5,2028,0.0
RE1,PHL_AGR_FAC,PM2_5,2029,0.0
RE1,PHL_AGR_FAC,PM2_5,2030,0.0
RE1,PHL_AGR_FAC,PM2_5,2031,0.0
RE1,PHL_AGR_FAC,PM2_5,2032,0.0
RE1,PHL_AGR_FAC,PM2_5,2033,0.0
RE1,PHL_AGR_FAC,PM2_5,2034,0.0
RE1,PHL_AGR_FAC,PM2_5,2035,0.0
RE1,PHL_AGR_FAC,PM2_5,2036,0.0
RE1,PHL_AGR_FAC,PM2_5,2037,0.0
RE1,PHL_AGR_FAC,PM2_5,2038,0.0
RE1,PHL_AGR_FAC,PM2_5,2039,0.0
RE1,PHL_AGR_FAC,PM2_5,2040,0.0
RE1,PHL_AGR_FAC,PM2_5,2041,0.0
RE1,PHL_AGR_FAC,PM2_5,2042,0.0
RE1,PHL_AGR_FAC,PM2_5,2043,0.0
RE1,PHL_AGR_FAC,PM2_5,2044,0.0
RE1,PHL_AGR_FAC,PM2_5,2045,0.0
RE1,PHL_AGR_FAC,PM2_5,2046,0.0
RE1,PHL_AGR_FAC,PM2_5,2047,0.0
RE1,PHL_AGR_FAC,PM2_5,2048,0.0
RE1,PHL_AGR_FAC,PM2_5,2049,0.0
RE1,PHL_AGR_FAC,PM2_5,2050,0.0
RE1,PHL_AGR_FAC,PM2_5,2051,0.0
RE1,PHL_AGR_FAC,PM2_5,2052,0.0
RE1,PHL_AGR_FAC,PM2_5,2053,0.0
RE1,PHL_AGR_HEAT_OIL,CO2e,2020,0.0
RE1,PHL_AGR_HEAT_OIL,CO2e,2021,0.0
RE1,PHL_AGR_HEAT_OIL,CO2e,2022,0.0
RE1,PHL_AGR_HEAT_OIL,CO2e,2023,0.0
RE1,PHL_AGR_HEAT_OIL,CO2e,2024,0.0
RE1,PHL_AGR_HEAT_OIL,CO2e,2025,0.0
RE1,PHL_AGR_HEAT_OIL,CO2e,2026,0.0
RE1,PHL_AGR_HEAT_OIL,CO2e,2027,0.0
RE1,PHL_AGR_HEAT_OIL,CO2e,2028,0.0
RE1,PHL_AGR_HEAT_OIL,CO2e,2029,0.0
RE1,PHL_AGR_HEAT_OIL,CO2e,2030,0.0
RE1,PHL_AGR_HEAT_OIL,CO2e,2031,0.0
RE1,PHL_AGR_HEAT_OIL,CO2e,2032,0.0
RE1,PHL_AGR_HEAT_OIL,CO2e,2033,0.0
RE1,PHL_AGR_HEAT_OIL,CO2e,2034,0.0
RE1,PHL_AGR_HEAT_OIL,CO2e,2035,0.0
RE1,PHL_AGR_HEAT_OIL,CO2e,2036,0.0
RE1,PHL_AGR_HEAT_OIL,CO2e,2037,0.0
RE1,PHL_AGR_HEAT_OIL,CO2e,2038,0.0
RE1,PHL_AGR_HEAT_OIL,CO2e,2039,0.0
RE1,PHL_AGR_HEAT_OIL,CO2e,2040,0.0
RE1,PHL_AGR_HEAT_OIL,CO2e,2041,0.0
RE1,PHL_AGR_HEAT_OIL,CO2e,2042,0.0
RE1,PHL_AGR_HEAT_OIL,CO2e,2043,0.0
RE1,PHL_AGR_HEAT_OIL,CO2e,2044,0.0
RE1,PHL_AGR_HEAT_OIL,CO2e,2045,0.0
RE1,PHL_AGR_HEAT_OIL,CO2e,2046,0.0
RE1,PHL_AGR_HEAT_OIL,CO2e,2047,0.0
RE1,PHL_AGR_HEAT_OIL,CO2e,2048,0.0
RE1,PHL_AGR_HEAT_OIL,CO2e,2049,0.0
RE1,PHL_AGR_HEAT_OIL,CO2e,2050,0.0
RE1,PHL_AGR_HEAT_OIL,CO2e,2051,0.0
RE1,PHL_AGR_HEAT_OIL,CO2e,2052,0.0
RE1,PHL_AGR_HEAT_OIL,CO2e,2053,0.0
RE1,PHL_AGR_HEAT_OIL,PM2_5,2020,0.0
RE1,PHL_AGR_HEAT_OIL,PM2_5,2021,0.0
RE1,PHL_AGR_HEAT_OIL,PM2_5,2022,0.0
RE1,PHL_AGR_HEAT_OIL,PM2_5,2023,0.0
RE1,PHL_AGR_HEAT_OIL,PM2_5,2024,0.0
RE1,PHL_AGR_HEAT_OIL,PM2_5,2025,0.0
RE1,PHL_AGR_HEAT_OIL,PM2_5,2026,0.0
RE1,PHL_AGR_HEAT_OIL,PM2_5,2027,0.0
RE1,PHL_AGR_HEAT_OIL,PM2_5,2028,0.0
RE1,PHL_AGR_HEAT_OIL,PM2_5,2029,0.0
RE1,PHL_AGR_HEAT_OIL,PM2_5,2030,0.0
RE1,PHL_AGR_HEAT_OIL,PM2_5,2031,0.0
RE1,PHL_AGR_HEAT_OIL,PM2_5,2032,0.0
RE1,PHL_AGR_HEAT_OIL,PM2_5,2033,0.0
RE1,PHL_AGR_HEAT_OIL,PM2_5,2034,0.0
RE1,PHL_AGR_HEAT_OIL,PM2_5,2035,0.0
RE1,PHL_AGR_HEAT_OIL,PM2_5,2036,0.0
RE1,PHL_AGR_HEAT_OIL,PM2_5,2037,0.0
RE1,PHL_AGR_HEAT_OIL,PM2_5,2038,0.0
RE1,PHL_AGR_HEAT_OIL,PM2_5,2039,0.0
RE1,PHL_AGR_HEAT_OIL,PM2_5,2040,0.0
RE1,PHL_AGR_HEAT_OIL,PM2_5,2041,0.0
RE1,PHL_AGR_HEAT_OIL,PM2_5,2042,0.0
RE1,PHL_AGR_HEAT_OIL,PM2_5,2043,0.0
RE1,PHL_AGR_HEAT_OIL,PM2_5,2044,0.0
RE1,PHL_AGR_HEAT_OIL,PM2_5,2045,0.0
RE1,PHL_AGR_HEAT_OIL,PM2_5,2046,0.0
RE1,PHL_AGR_HEAT_OIL,PM2_5,2047,0.0
RE1,PHL_AGR_HEAT_OIL,PM2_5,2048,0.0
RE1,PHL_AGR_HEAT_OIL,PM2_5,2049,0.0
RE1,PHL_AGR_HEAT_OIL,PM2_5,2050,0.0
RE1,PHL_AGR_HEAT_OIL,PM2_5,2051,0.0
RE1,PHL_AGR_HEAT_OIL,PM2_5,2052,0.0
RE1,PHL_AGR_HEAT_OIL,PM2_5,2053,0.0
RE1,PHL_AGR_HEAT_NG,CO2e,2020,0.0
RE1,PHL_AGR_HEAT_NG,CO2e,2021,0.0
RE1,PHL_AGR_HEAT_NG,CO2e,2022,0.0
RE1,PHL_AGR_HEAT_NG,CO2e,2023,0.0
RE1,PHL_AGR_HEAT_NG,CO2e,2024,0.0
RE1,PHL_AGR_HEAT_NG,CO2e,2025,0.0
RE1,PHL_AGR_HEAT_NG,CO2e,2026,0.0
RE1,PHL_AGR_HEAT_NG,CO2e,2027,0.0
RE1,PHL_AGR_HEAT_NG,CO2e,2028,0.0
RE1,PHL_AGR_HEAT_NG,CO2e,2029,0.0
RE1,PHL_AGR_HEAT_NG,CO2e,2030,0.0
RE1,PHL_AGR_HEAT_NG,CO2e,2031,0.0
RE1,PHL_AGR_HEAT_NG,CO2e,2032,0.0
RE1,PHL_AGR_HEAT_NG,CO2e,2033,0.0
RE1,PHL_AGR_HEAT_NG,CO2e,2034,0.0
RE1,PHL_AGR_HEAT_NG,CO2e,2035,0.0
RE1,PHL_AGR_HEAT_NG,CO2e,2036,0.0
RE1,PHL_AGR_HEAT_NG,CO2e,2037,0.0
RE1,PHL_AGR_HEAT_NG,CO2e,2038,0.0
RE1,PHL_AGR_HEAT_NG,CO2e,2039,0.0
RE1,PHL_AGR_HEAT_NG,CO2e,2040,0.0
RE1,PHL_AGR_HEAT_NG,CO2e,2041,0.0
RE1,PHL_AGR_HEAT_NG,CO2e,2042,0.0
RE1,PHL_AGR_HEAT_NG,CO2e,2043,0.0
RE1,PHL_AGR_HEAT_NG,CO2e,2044,0.0
RE1,PHL_AGR_HEAT_NG,CO2e,2045,0.0
RE1,PHL_AGR_HEAT_NG,CO2e,2046,0.0
RE1,PHL_AGR_HEAT_NG,CO2e,2047,0.0
RE1,PHL_AGR_HEAT_NG,CO2e,2048,0.0
RE1,PHL_AGR_HEAT_NG,CO2e,2049,0.0
RE1,PHL_AGR_HEAT_NG,CO2e,2050,0.0
RE1,PHL_AGR_HEAT_NG,CO2e,2051,0.0
RE1,PHL_AGR_HEAT_NG,CO2e,2052,0.0
RE1,PHL_AGR_HEAT_NG,CO2e,2053,0.0
RE1,PHL_AGR_HEAT_NG,PM2_5,2020,0.0
RE1,PHL_AGR_HEAT_NG,PM2_5,2021,0.0
RE1,PHL_AGR_HEAT_NG,PM2_5,2022,0.0
RE1,PHL_AGR_HEAT_NG,PM2_5,2023,0.0
RE1,PHL_AGR_HEAT_NG,PM2_5,2024,0.0
